t t ref_freq ref_freq electric_frequency electric_frequency hall_freq hall_freq isA isA isB isB isC isC isD isD isQ isQ VsD VsD VsQ VsQ Vs Vs Vs_cita Vs_cita Vs_cita_relative Vs_cita_relative psisD psisD psisQ psisQ psis psis psis_alpha psis_alpha psis_ref psis_ref te te Ud Ud pi_control pi_control pi_max pi_max
t 16777216.00 ref_freq 0.00 electric_frequency 0.26 hall_freq 0.00 isA -5.90 isB -6.12 isC 12.02 isD -5.90 isQ -10.47 VsD -0.80 VsQ -1.50 Vs 1.66 Vs_cita 240.75 Vs_cita_relative 240.75 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.05 Ud 4.07 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.02 hall_freq 0.00 isA -5.97 isB -5.87 isC 11.84 isD -5.97 isQ -10.22 VsD -0.79 VsQ -1.40 Vs 1.65 Vs_cita 240.42 Vs_cita_relative 240.42 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.03 pi_control 25.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.07 hall_freq 0.00 isA -5.95 isB -5.94 isC 11.89 isD -5.95 isQ -10.30 VsD -0.80 VsQ -1.44 Vs 1.65 Vs_cita 240.57 Vs_cita_relative 240.57 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.14 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.01 hall_freq 0.00 isA -5.98 isB -5.91 isC 11.89 isD -5.98 isQ -10.27 VsD -0.83 VsQ -1.46 Vs 1.67 Vs_cita 240.59 Vs_cita_relative 240.59 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te 25.00 Ud 4.11 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.22 hall_freq 0.00 isA -5.84 isB -6.10 isC 11.95 isD -5.84 isQ -10.42 VsD -0.79 VsQ -1.49 Vs 1.66 Vs_cita 241.01 Vs_cita_relative 241.01 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.05 Ud 4.10 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 25.00 hall_freq 0.00 isA -5.97 isB -5.95 isC 11.92 isD -5.97 isQ -10.32 VsD -0.80 VsQ -1.44 Vs 1.64 Vs_cita 240.88 Vs_cita_relative 240.88 psisD 25.00 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.13 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.15 hall_freq 0.00 isA -5.86 isB -6.04 isC 11.89 isD -5.86 isQ -10.35 VsD -0.79 VsQ 25.00 Vs 1.66 Vs_cita 240.96 Vs_cita_relative 240.96 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.04 Ud 4.09 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.11 hall_freq 0.00 isA -5.96 isB -5.97 isC 11.93 isD -5.96 isQ -10.33 VsD 25.00 VsQ -1.49 Vs 1.63 Vs_cita 25.00 Vs_cita_relative 25.00 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te 25.00 Ud 4.10 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.33 hall_freq 0.00 isA -6.07 isB -6.00 isC 12.06 isD -6.07 isQ -10.43 VsD -0.85 VsQ -1.50 Vs 1.65 Vs_cita 241.95 Vs_cita_relative 241.95 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 25.00 psis_ref 25.00000 te -0.03 Ud 4.13 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.00 hall_freq 0.00 isA -5.92 isB -5.85 isC 11.78 isD -5.92 isQ -10.18 VsD -0.78 VsQ -1.38 Vs 1.65 Vs_cita 240.48 Vs_cita_relative 240.48 psisD 25.00 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.05 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.06 hall_freq 0.00 isA -5.92 isB -5.81 isC 11.73 isD -5.92 isQ -10.13 VsD -0.78 VsQ -1.39 Vs 1.66 Vs_cita 240.61 Vs_cita_relative 240.61 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.05 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.02 hall_freq 0.00 isA -6.04 isB -5.98 isC 12.02 isD -6.04 isQ -10.39 VsD -0.85 VsQ -1.51 Vs 1.61 Vs_cita 240.82 Vs_cita_relative 240.82 psisD 0.01 psisQ 25.00 psis 25.00 psis_alpha 25.00 psis_ref 25.00000 te -0.03 Ud 4.06 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 25.00 hall_freq 0.00 isA -6.10 isB -6.04 isC 12.14 isD -6.10 isQ -10.49 VsD -0.88 VsQ -1.56 Vs 1.65 Vs_cita 240.95 Vs_cita_relative 240.95 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.03 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 25.00 hall_freq 0.00 isA -5.96 isB -5.85 isC 25.00 isD -5.96 isQ -10.20 VsD -0.80 VsQ -1.40 Vs 1.65 Vs_cita 240.66 Vs_cita_relative 240.66 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.04 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.04 hall_freq 0.00 isA -5.98 isB -5.91 isC 11.88 isD -5.98 isQ -10.27 VsD -0.80 VsQ -1.42 Vs 1.65 Vs_cita 240.35 Vs_cita_relative 240.35 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.14 pi_control -0.00 pi_max 0.01
